GRP_ID,BLIDS_INC,AREA_GROSS_EXT_SUM,NAME,PULSE_ID
863-2,<Null>,691.83,Auditorium Annex,
314,<Null>,12466.1,Beaty Biodiversity,
568,<Null>,1946.73,Belkin Art Gallery,
858,<Null>,1598.12,Berwick,
324,<Null>,1676.24,Binning,
64,<Null>,5545.88,Bio Sciences,3770
65,<Null>,8020.72,Bio Sciences,3771
66,<Null>,5589.87,Bio Sciences,3767
68,<Null>,5660.87,Bio Sciences,3767
69,<Null>,184.94,Bio Sciences,3767
70,<Null>,27.09,Bio Sciences,3767
19,"19,019",6101.04,Bioenergy,
846,<Null>,500.84,Biological Archive,
461,<Null>,4407.17,Biomedical Research,327
81,<Null>,6532.81,Bookstore,
071-1,<Null>,104.1,Botany Greenhouse 1,
071-2,<Null>,143.07,Botany Greenhouse 2,
20,<Null>,9863.58,Brimacombe,328
112,<Null>,4318.12,Brock Hall,
113,<Null>,2100.43,Brock Hall,
112-1,<Null>,5907.01,Brock Hall,
121-1,<Null>,3024.8,Buchanan A,345
121-2,<Null>,5068.79,Buchanan B,345
121-3,<Null>,2842.28,Buchanan C,345
122-1,<Null>,4989.89,Buchanan D,346
122-2,<Null>,2144.09,Buchanan E,346
120,<Null>,10589.53,Buchanan Tower,415
643,<Null>,955.78,C & CP 1,
29,<Null>,452.4,C & CP2,
807,<Null>,0,Carey Centre,
804,<Null>,0,Carey College,
806,<Null>,0,Carey College,
545-1,<Null>,2295.55,Cariboo House,
200,<Null>,381.66,CCS 1,
205,<Null>,850.67,CCS 1,
201,<Null>,385.78,CCS 2,
206,<Null>,766.81,CCS 2,
202,<Null>,381.66,CCS 3,
207,<Null>,433.93,CCS 3,
203,<Null>,332.78,CCS 4,
204,<Null>,481.74,CCS 5,
155,<Null>,1204.54,CCS Admin,
420,<Null>,2178.26,Cecil Green,
306,<Null>,9355.82,CEME,340
307,<Null>,3964.74,CEME Labs,343
130,<Null>,11440.09,Chan Centre,347
802,<Null>,722.47,Chancellor Building,
823,<Null>,0,Chancellor Hall,
824,<Null>,0,Chancellor Hall,
830,"830,830-1,830-2,830-3,830-4",0,Chancellor House,
833,<Null>,0,Chancellor Row 1,
834,<Null>,0,Chancellor Row 2,
835,<Null>,0,Chancellor Row 3,
517,<Null>,233.03,Cheeze Factory,
300,<Null>,14030.38,Chem Bio,
132,<Null>,7273.86,Chemistry D,
136,<Null>,2739.36,Chemistry D,
144,<Null>,3493.9,Chemistry D,
148,<Null>,5373.24,Chemistry D,
447,<Null>,7804.89,Chemistry D,330
140,<Null>,72.01,Chemistry Storage,
633,<Null>,6609.1,CIRS,
478,<Null>,2911.66,CK Choi,487
621,<Null>,0,Clement's Green,
182,<Null>,45.27,Clock Tower,
421,<Null>,246.39,Coach House,
184,<Null>,2962.1,Coal & Mineral,
831-1,<Null>,0,Coast Duplex 1,
831-3,<Null>,0,Coast Duplex 3,
831-4,<Null>,0,Coast Duplex 4,
831-5,<Null>,0,Coast Duplex 5,
832-2,<Null>,0,Coast East,
832-3,<Null>,0,Coast TH,
832-1,<Null>,0,Coast West,
544,<Null>,5073.88,Common Block,
137,<Null>,185.34,Composting Facility,
160,<Null>,3821.45,Continuing Studies,
839,<Null>,0,Corus,
605,"605,605,605,605,605,000,000",0,Crescent West,
625,"625,624",5018.05,Cunningham,552
490,<Null>,4568.28,David Lam,323
751,<Null>,0,David Lam Kiosk,
540-3,<Null>,9625.13,Dene /Nootka,
537,"537,537-1",13728.73,Detwiller,
523-1,"525-1,526,523-1",9244.19,DH Copp,348
458,<Null>,5125.4,Donald Rix,
896-1,<Null>,2221.09,Dorothy Mawdsley,
868,<Null>,36410.11,Doug Mitchell,
225,<Null>,17755.17,Earth Sciences Building,
305,<Null>,998.86,Earthquake Eng,
301,<Null>,2645.01,EDC,
429,<Null>,1314.11,Empire Pool,
402,<Null>,9105.67,EOS - Main,351
403,<Null>,1672.63,EOS - Main,2629
139,<Null>,29.6,ESF Office,
138,<Null>,39.07,ESF Recovery Lab,
808,<Null>,0,Esse,
